date,team1,indicator,team2,score,location,attendance,extra_periods
11/23/2025,North Carolina,@,Maryland,1-1,,"3,061",3
11/15/2025,Houston Christian,@,Lindenwood,1-1,,577,3
11/08/2025,UMass Lowell,@,UAlbany,3-3,,212,3
11/09/2025,Old Dominion,@,West Virginia,2-2,,784,3
11/30/2025,Saint Louis,@,Bryant,2-2,,"1,400",3
11/30/2025,Hofstra,@,Furman,3-3,,"1,676",3
11/16/2025,Dayton,@,Saint Louis,1-1,,"3,495",3
11/20/2025,Siena,@,Seton Hall,1-1,,489,3
11/20/2025,North Florida,@,North Carolina,2-2,,"1,029",3
11/10/2025,Stetson,@,North Florida,0-0,,559,3
11/08/2025,UMBC,@,New Hampshire,0-0,,373,3
11/09/2025,Coastal Carolina,@,Kentucky,0-0,,657,3
11/12/2025,Western Mich.,@,Drake,1-1,,679,3
11/10/2025,Jacksonville,@,Bellarmine,1-1,,367,3
11/12/2025,Green Bay,@,Purdue Fort Wayne,2-2,,203,3
11/15/2025,Lafayette,@,Lehigh,1-1,,"2,075",3
11/23/2025,UNC Greensboro,@,Virginia,2-2,,"1,255",3
11/20/2025,Elon,@,UNC Greensboro,0-0,,"1,524",3
11/05/2025,UC Davis,@,Cal St. Fullerton,0-0,,664,3
11/12/2025,FIU,@,Charlotte,0-0,,894,3
11/23/2025,Denver,@,Portland,2-2,,"2,329",3
11/08/2025,Saint Joseph's,@,Fordham,0-0,,269,3
11/20/2025,Grand Canyon,@,UCLA,0-0,,323,3
11/16/2025,UNC Greensboro,@,Furman,0-1,,"2,018",2
11/09/2025,UCF,vs.,Ga. Southern,3-2,"Lexington, KY",657,2
